SUBJECT|SUB_NER|SCALAR_TYPE|TAG|VERB|VCAT|TAG|OBJECT|OBJ_NER|SCALAR_TYPE|TAG|LABEL 
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall check|Other|VB|see|O|0|VB
system|O|0|NN|shall copy time submission to|Other|TO|new day|DURATION|0|NN
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall check|Other|VB|see|O|0|VB
system|O|0|NN|shall|Other|MD|copy selected|O|0|VBN
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
required information|O|0|NN|is|IS-A|VBZ|present|DATE|0|JJ
system|O|0|NN|shall recall|Other|VB|previously saved data|O|0|NNS
system|O|0|NN|shall recall|Other|VB|data from database|O|0|NN
system|O|0|NN|generate|Other|VBP|PDF of formatted data|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
system|O|0|NN|shall let|Other|VB|user|O|0|NN
system|O|0|NN|shall let|Other|VB|user|O|0|NN
system|O|0|NN|shall let|Other|VB|user|O|0|NN
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
desired user|O|0|NN|is|IS-A|VBZ|valid|O|0|JJ
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
administrator|TITLE|0|NN|is with|Other|IN|correct permissions|O|0|NNS
Users|O|0|NNS|log in to|Other|TO|system for operations|O|0|NNS
system|O|0|NN|shall permit|Other|VB|only staff members|O|0|NNS
users|O|0|NNS|information of|Other|IN|other users|O|0|NNS
Responses|O|0|NNS|shall take|Other|VB|load onto screen|O|0|NN
Web application|O|0|NN|using|Other|VBG|mouse combinations|O|0|NNS
Android application|O|0|NN|shall support|Other|VB|virtual keyboard input|O|0|NN
system|O|0|NN|shall communicate through|Other|IN|programmatic interface|O|0|NN
data|O|0|NNS|be stored on|Other|IN|Google App Engine|O|0|NNP
system|O|0|NN|shall allow|Other|VB|user|O|0|NN
system|O|0|NN|shall display|Other|VB|available components of product|O|0|NN
system|O|0|NN|shall enable|Other|VB|user|O|0|NN
system|O|0|NN|shall notify user about|Other|IN|conflict in current configuration|O|0|NN
conflict|O|0|NN|is in|Other|IN|current configuration|O|0|NN
user|O|0|NN|confirm|Other|VB|completion of current configuration|O|0|NN
system|O|0|NN|shall display|Other|VB|detailed information of selected products|O|0|NNS
browsing options|O|0|NNS|see|Other|VB|product details|O|0|NNS
system|O|0|NN|shall display product categorization to|Other|TO|user|O|0|NN
user|O|0|NN|enter search text on|Other|IN|screen|O|0|NN
user|O|0|NN|select|Other|VB|multiple options on screen|O|0|NN
system|O|0|NN|shall display|Other|VB|only 10 matching result|O|0|NN
system|O|0|NN|shall enable|Other|VB|navigate between search|O|0|NN
system|O|0|NN|shall display|Other|VB|active order history in customer profile|O|0|NN
user|O|0|NN|select order from|Other|IN|order history|O|0|NN
system|O|0|NN|shall display|Other|VB|detailed information about selected order|O|0|NN
system|O|0|NN|shall display items by|Other|IN|user in profile|O|0|NN
system|O|0|NN|shall allow|Other|VB|register for newsletters in profile|O|0|NN
system|O|0|NN|shall provide|Other|VB|sitemap options for customer support|O|0|NN
user|O|0|NN|select|Other|VB|support type|O|0|NN
user|O|0|NN|enter customer information for|Other|IN|support|O|0|NN
system|O|0|NN|shall display customer support contact numbers on|Other|IN|screen|O|0|NN
user|O|0|NN|enter contact number|Other|NN|support personnel call|O|0|VB
system|O|0|NN|shall display help upon|Other|IN|request|O|0|NN
system|O|0|NN|shall display FAQ upon|Other|IN|request|O|0|NN
system|O|0|NN|shall maintain customer email information as|Other|IN|required part of customer profile|O|0|NN
system|O|0|NN|shall send|Other|VB|order|O|0|NN
system|O|0|NN|shall display invoice for|Other|IN|current order|O|0|NN
system|O|0|NN|shall optionally allow|Other|VB|user|O|0|NN
system|O|0|NN|shall provide shopping cart during|Other|IN|online purchase|O|0|NN
system|O|0|NN|shall allow user to|Other|TO|add/remove products in shopping cart|O|0|NN
system|O|0|NN|shall display|Other|VB|different shipping options provided by shipping department|O|0|NN
user|O|0|NN|select shipping method during|Other|IN|payment process|O|0|NN
